id,x,y,z,mass,vx,vy,vz,eps
18037,-3.25205,22.1591,-0.637623,0.00119065,-1.42451,-0.145842,0.144876,0.133472
18038,12.2458,-19.0582,-0.974936,0.00119065,1.20658,0.748489,-0.0467633,0.133472
18039,22.0345,-5.8342,0.40633,0.00119065,0.253993,1.39068,-0.066714,0.133472
18040,-21.3778,3.26005,-0.246048,0.00119065,-0.340512,-1.45325,0.0021033,0.133472
18041,-15.1422,-14.2007,-1.17456,0.00119065,1.07563,-1.10633,-0.0548631,0.133472
18042,16.2261,14.2165,0.82896,0.00119065,-0.934642,1.16477,-0.0271423,0.133472
18043,16.1247,15.7395,1.30263,0.00119065,-0.950713,1.06144,0.0708379,0.133472
18044,14.6672,15.8183,0.386173,0.00119065,-1.03732,1.07824,-0.0414249,0.133472
18045,-13.837,-17.7909,-0.875151,0.00119065,1.19013,-0.793434,-0.0253762,0.133472
18046,-19.3841,11.6574,0.115379,0.00119065,-0.676969,-1.25042,0.144732,0.133472
18047,-21.0148,7.28984,0.964852,0.00119065,-0.425897,-1.38304,0.0845246,0.133472
18048,-21.8606,-2.29992,1.07524,0.00119065,0.103717,-1.44343,-0.233576,0.133472
18049,-2.37941,-22.0418,-0.619711,0.00119065,1.44872,0.0456208,0.151136,0.133472
18050,-4.04342,-23.7376,0.446946,0.00119065,1.32754,-0.114115,-0.0791914,0.133472
18051,-22.4527,1.4555,-0.520112,0.00119065,-0.137116,-1.41907,-0.176018,0.133472
18052,8.56835,19.5425,0.966465,0.00119065,-1.33008,0.710432,0.069878,0.133472
18053,9.57403,17.7617,1.2475,0.00119065,-1.34751,0.811461,-0.187514,0.133472
18054,-1.05119,-21.4106,0.190644,0.00119065,1.5035,-0.102336,0.0666784,0.133472
18055,7.7496,-21.275,1.26864,0.00119065,1.32022,0.514494,0.126542,0.133472
18056,18.2092,-9.36991,0.00389365,0.00119065,0.729551,1.39335,0.0184776,0.133472
18057,18.8102,-10.741,0.828759,0.00119065,0.696843,1.29147,0.262377,0.133472
18058,19.0728,-9.24332,2.19013,0.00119065,0.715537,1.32271,0.0537791,0.133472
18059,13.5871,16.2229,0.0687483,0.00119065,-1.21914,0.920819,0.0075308,0.133472
18060,13.7129,-16.4716,0.532295,0.00119065,1.18819,0.929403,0.0260162,0.133472
18061,-10.2259,19.4395,1.36114,0.00119065,-1.2751,-0.709244,-0.149345,0.133472
18062,19.3513,11.6978,-0.990472,0.00119065,-0.772884,1.20125,-0.00316414,0.133472
18063,8.81295,-21.5705,-0.39913,0.00119065,1.33048,0.393541,-0.012581,0.133472
18064,-11.272,-17.7597,-2.51886,0.00119065,1.29757,-0.773718,0.0166997,0.133472
18065,23.0501,-2.82841,-1.16819,0.00119065,0.179736,1.37603,0.0342426,0.133472
18066,-22.8345,2.74335,1.08885,0.00119065,-0.143792,-1.39527,0.0459317,0.133472
18067,-15.2627,17.7505,-1.58556,0.00119065,-1.06277,-0.869393,-0.0101369,0.133472
18068,22.1686,4.32241,0.904163,0.00119065,-0.193898,1.41701,0.0790055,0.133472
18069,6.24217,21.7417,-0.0764635,0.00119065,-1.34464,0.408269,0.286087,0.133472
18070,-10.1972,21.981,-1.44788,0.00119065,-1.20967,-0.528852,0.0850324,0.133472
18071,6.98679,18.5407,1.03574,0.00119065,-1.48117,0.635512,0.103522,0.133472
18072,10.3145,-18.6489,-0.129993,0.00119065,1.35408,0.690947,0.0318871,0.133472
18073,7.76489,21.1344,1.11314,0.00119065,-1.35401,0.461214,0.128165,0.133472
18074,17.9714,11.6349,0.874721,0.00119065,-0.811319,1.27216,-0.068948,0.133472
18075,0.202557,-22.9233,2.82753,0.00119065,1.38679,-0.0256756,0.0593473,0.133472
18076,12.3884,18.6624,0.293755,0.00119065,-1.22386,0.760366,-0.15314,0.133472
18077,-0.247768,-21.3427,-2.03243,0.00119065,1.49696,-0.106128,0.0213643,0.133472
18078,20.3107,9.16501,0.145362,0.00119065,-0.522203,1.35285,-0.142017,0.133472
18079,21.4067,3.22715,-1.68332,0.00119065,-0.374782,1.43267,0.125437,0.133472
18080,-5.28121,-22.0984,-0.450667,0.00119065,1.37665,-0.379799,-0.0202252,0.133472
18081,0.0512016,-22.1863,0.103376,0.00119065,1.45875,-0.081252,0.103341,0.133472
18082,-22.7594,-4.70442,-0.757675,0.00119065,0.30272,-1.36016,0.0416336,0.133472
18083,22.2463,-6.58429,-0.390698,0.00119065,0.397922,1.33663,0.104952,0.133472
18084,19.5883,3.65825,-0.857216,0.00119065,-0.23769,1.56559,0.29666,0.133472
18085,22.2702,4.62737,-0.635887,0.00119065,-0.240419,1.40619,0.0225971,0.133472
18086,-14.7437,-17.1668,1.91305,0.00119065,1.03315,-0.975852,-0.0458364,0.133472
18087,1.80807,-22.3509,0.347891,0.00119065,1.44261,0.135652,0.0177306,0.133472
18088,-6.45282,-21.9204,-0.0586564,0.00119065,1.34935,-0.443762,0.0800223,0.133472
18089,14.119,17.069,-0.751255,0.00119065,-1.15745,0.896606,-0.0639878,0.133472
18090,-10.7998,19.2732,1.88837,0.00119065,-1.27486,-0.70243,-0.0746396,0.133472
